runs,wickets,overs,runs_last_5,wickets_last_5,total_score
198,7,18,59,4,217
217,7,19,58,4,217
60,1,5,58,1,182
70,1,6,62,0,182
81,1,7,66,0,182
86,2,8,61,1,182
94,2,9,51,1,182
107,3,10,47,2,182
110,3,11,40,2,182
116,3,12,35,2,182
122,4,13,36,2,182
138,4,14,44,2,182
146,4,15,39,1,182
152,5,16,42,2,182
157,6,17,41,3,182
169,8,18,47,4,182
182,10,19,44,6,182
39,2,5,37,2,116
46,2,6,32,2,116
61,2,7,43,0,116
65,3,8,44,1,116
67,4,9,33,2,116
68,4,10,29,2,116
90,4,11,44,2,116
94,5,12,33,3,116
98,7,13,33,4,116
101,7,14,34,3,116
105,8,15,37,4,116
106,8,16,16,4,116
113,9,17,19,4,116
116,9,18,18,2,116
116,9,19,15,2,116
57,2,5,56,1,135
64,3,6,48,2,135
68,4,7,51,2,135
76,4,8,47,2,135
77,5,9,35,3,135
78,5,10,21,3,135
78,6,11,14,3,135
88,6,12,20,2,135
90,7,13,14,3,135
95,7,14,18,2,135
108,7,15,30,2,135
112,7,16,34,1,135
121,7,17,33,1,135
130,7,18,40,0,135
135,8,19,40,1,135
45,2,5,36,1,138
52,2,6,34,1,138
61,2,7,36,1,138
68,2,8,37,0,138
73,2,9,34,0,138
79,2,10,34,0,138
83,2,11,31,0,138
91,2,12,30,0,138
117,2,13,49,0,138
121,2,14,48,0,138
130,3,15,51,1,138
134,3,16,51,1,138
138,3,17,47,1,138
61,3,5,53,3,147
63,3,6,39,3,147
65,4,7,33,2,147
69,4,8,31,2,147
72,5,9,22,3,147
75,5,10,14,2,147
79,5,11,16,2,147
87,5,12,22,1,147
92,5,13,23,1,147
104,6,14,32,1,147
108,6,15,33,1,147
119,6,16,40,1,147
126,7,17,39,2,147
134,8,18,42,3,147
147,9,19,43,3,147
45,0,5,40,0,152
55,0,6,47,0,152
66,0,7,48,0,152
72,1,8,47,1,152
77,1,9,42,1,152
81,1,10,36,1,152
90,1,11,35,1,152
95,1,12,29,1,152
107,1,13,35,0,152
121,1,14,44,0,152
139,1,15,58,0,152
152,1,16,62,0,152
27,3,5,21,3,154
35,3,6,21,3,154
42,3,7,27,2,154
47,3,8,29,1,154
54,3,9,32,1,154
56,4,10,29,1,154
61,4,11,26,1,154
69,4,12,27,1,154
84,5,13,37,2,154
99,5,14,45,2,154
114,5,15,58,1,154
124,6,16,63,2,154
135,6,17,66,2,154
147,6,18,63,1,154
154,7,19,55,2,154
60,0,5,50,0,155
83,0,6,63,0,155
97,0,7,68,0,155
108,0,8,71,0,155
130,0,9,83,0,155
147,0,10,87,0,155
155,0,11,72,0,155
45,3,5,37,3,158
54,3,6,43,2,158
58,4,7,41,2,158
60,4,8,31,2,158
69,4,9,29,2,158
81,4,10,36,1,158
88,5,11,34,2,158
94,5,12,36,1,158
98,5,13,38,1,158
107,5,14,38,1,158
122,5,15,41,1,158
128,6,16,40,1,158
139,7,17,45,2,158
152,7,18,54,2,158
158,8,19,51,3,158
55,2,5,53,1,162
62,2,6,51,0,162
70,3,7,49,1,162
75,3,8,41,1,162
81,3,9,38,1,162
89,3,10,34,1,162
103,3,11,41,1,162
114,3,12,44,0,162
119,4,13,44,1,162
123,4,14,42,1,162
133,4,15,44,1,162
142,5,16,39,2,162
155,6,17,41,3,162
158,6,18,39,2,162
162,6,19,39,2,162
36,1,5,35,1,178
43,2,6,32,2,178
50,2,7,32,2,178
60,2,8,38,1,178
65,2,9,40,1,178
72,2,10,36,1,178
83,3,11,40,1,178
86,3,12,36,1,178
94,3,13,34,1,178
102,3,14,37,1,178
116,3,15,44,1,178
132,3,16,49,0,178
140,3,17,54,0,178
164,3,18,70,0,178
178,5,19,76,2,178
45,1,5,39,1,165
56,1,6,44,1,165
69,1,7,56,1,165
82,1,8,62,0,165
93,1,9,61,0,165
102,2,10,57,1,165
111,2,11,55,1,165
119,2,12,50,1,165
127,2,13,45,1,165
132,3,14,39,2,165
140,4,15,38,2,165
148,6,16,37,4,165
154,7,17,35,5,165
162,9,18,35,7,165
165,10,19,33,7,165
40,3,5,34,1,137
47,3,6,32,1,137
49,3,7,27,1,137
55,3,8,22,1,137
60,3,9,22,1,137
71,3,10,31,0,137
74,4,11,27,1,137
77,4,12,28,1,137
77,6,13,22,3,137
87,6,14,27,3,137
93,7,15,22,4,137
104,7,16,30,3,137
118,7,17,41,3,137
126,7,18,49,1,137
137,8,19,50,2,137
38,3,5,32,3,138
43,3,6,27,3,138
47,3,7,30,2,138
63,3,8,38,1,138
69,3,9,40,0,138
75,3,10,37,0,138
90,3,11,47,0,138
98,3,12,51,0,138
102,3,13,39,0,138
110,3,14,41,0,138
121,3,15,46,0,138
129,3,16,39,0,138
132,3,17,34,0,138
138,3,18,36,0,138
58,1,5,55,1,191
71,1,6,54,1,191
75,1,7,48,1,191
79,1,8,34,1,191
91,1,9,38,0,191
102,1,10,44,0,191
113,1,11,42,0,191
119,1,12,44,0,191
138,1,13,59,0,191
151,2,14,60,1,191
159,2,15,57,1,191
167,3,16,54,2,191
178,4,17,59,3,191
184,5,18,46,4,191
191,5,19,40,3,191
55,3,5,48,2,181
59,3,6,42,2,181
65,3,7,38,2,181
71,3,8,29,2,181
83,3,9,35,0,181
97,3,10,42,0,181
107,3,11,48,0,181
118,3,12,53,0,181
130,3,13,59,0,181
134,3,14,51,0,181
140,4,15,43,1,181
144,4,16,37,1,181
157,4,17,39,1,181
162,5,18,32,2,181
181,5,19,47,2,181
50,1,5,44,1,164
54,2,6,38,2,164
59,2,7,33,2,164
67,3,8,37,2,164
76,3,9,38,2,164
83,3,10,33,2,164
90,4,11,36,2,164
93,5,12,34,3,164
98,5,13,31,2,164
111,6,14,35,3,164
119,6,15,36,3,164
128,7,16,38,3,164
137,7,17,44,2,164
154,7,18,56,2,164
164,8,19,53,2,164
41,1,5,30,1,167
46,2,6,29,2,167
55,2,7,27,2,167
67,2,8,34,2,167
77,2,9,40,2,167
90,3,10,49,2,167
101,3,11,55,1,167
108,3,12,53,1,167
110,3,13,43,1,167
129,3,14,52,1,167
140,3,15,50,0,167
148,3,16,47,0,167
158,3,17,50,0,167
167,3,18,57,0,167
45,1,5,40,1,196
53,2,6,42,1,196
60,2,7,39,1,196
75,2,8,49,1,196
89,2,9,51,1,196
103,2,10,58,1,196
111,4,11,58,2,196
119,4,12,59,2,196
131,4,13,56,2,196
142,4,14,53,2,196
156,4,15,53,2,196
164,4,16,53,0,196
180,5,17,61,1,196
189,5,18,58,1,196
196,7,19,54,3,196
51,3,5,42,3,151
54,3,6,32,2,151
70,3,7,39,2,151
74,3,8,35,2,151
78,3,9,34,1,151
93,3,10,42,0,151
100,3,11,46,0,151
107,3,12,37,0,151
120,4,13,46,1,151
128,5,14,50,2,151
136,5,15,43,2,151
143,5,16,43,2,151
147,7,17,40,4,151
151,9,18,31,5,151
151,10,19,23,5,151
47,1,5,43,1,169
54,1,6,43,1,169
65,1,7,52,1,169
70,2,8,42,1,169
82,2,9,45,1,169
98,2,10,51,1,169
106,2,11,52,1,169
114,2,12,49,1,169
119,2,13,49,0,169
126,3,14,44,1,169
127,3,15,29,1,169
137,3,16,31,1,169
144,4,17,30,2,169
158,5,18,39,3,169
169,6,19,43,3,169
64,0,5,56,0,172
83,0,6,58,0,172
93,0,7,62,0,172
101,0,8,58,0,172
106,0,9,52,0,172
113,0,10,49,0,172
118,1,11,35,1,172
123,1,12,30,1,172
134,1,13,33,1,172
142,2,14,36,2,172
147,2,15,34,2,172
154,2,16,36,1,172
156,2,17,33,1,172
172,2,18,38,1,172
41,0,5,33,0,165
51,0,6,34,0,165
65,0,7,46,0,165
76,0,8,54,0,165
81,0,9,47,0,165
101,0,10,60,0,165
108,1,11,57,1,165
109,2,12,44,2,165
117,3,13,41,3,165
123,4,14,42,4,165
131,4,15,30,4,165
149,4,16,41,3,165
158,5,17,49,3,165
164,7,18,47,4,165
165,10,19,42,6,165
43,1,5,33,1,171
46,2,6,30,2,171
53,2,7,29,1,171
58,2,8,28,1,171
61,2,9,25,1,171
79,2,10,36,1,171
83,3,11,37,1,171
88,3,12,35,1,171
103,3,13,45,1,171
106,3,14,45,1,171
123,4,15,44,2,171
137,4,16,54,1,171
150,5,17,62,2,171
171,5,18,68,2,171
49,1,5,44,1,178
57,1,6,41,1,178
68,1,7,45,1,178
82,2,8,50,1,178
85,2,9,41,1,178
91,2,10,42,1,178
102,3,11,45,2,178
104,4,12,36,3,178
111,5,13,29,3,178
119,5,14,34,3,178
128,5,15,37,3,178
140,5,16,38,2,178
150,5,17,46,1,178
157,6,18,46,1,178
178,6,19,59,1,178
31,4,5,21,4,169
35,4,6,19,4,169
42,4,7,19,3,169
45,4,8,20,1,169
52,5,9,23,1,169
57,5,10,26,1,169
63,5,11,28,1,169
80,5,12,38,1,169
85,5,13,40,1,169
101,5,14,49,0,169
113,5,15,56,0,169
124,5,16,61,0,169
142,5,17,62,0,169
160,6,18,75,1,169
169,6,19,68,1,169
50,2,5,45,2,162
54,2,6,40,2,162
58,2,7,41,2,162
62,2,8,36,2,162
74,2,9,39,2,162
78,2,10,28,0,162
92,2,11,38,0,162
102,3,12,44,1,162
110,4,13,48,2,162
112,5,14,38,3,162
118,6,15,40,4,162
124,6,16,32,4,162
134,6,17,32,3,162
156,7,18,46,3,162
162,8,19,50,3,162
37,2,5,35,2,133
42,3,6,38,2,133
53,3,7,47,1,133
65,3,8,43,1,133
81,3,9,52,1,133
85,4,10,48,2,133
90,4,11,48,1,133
101,4,12,48,1,133
109,4,13,44,1,133
114,5,14,33,2,133
119,5,15,34,1,133
129,6,16,39,2,133
132,8,17,31,4,133
133,10,18,24,6,133
38,4,5,37,2,109
41,4,6,31,2,109
46,5,7,34,2,109
51,5,8,35,2,109
58,5,9,28,2,109
59,5,10,21,1,109
76,5,11,35,1,109
84,5,12,38,0,109
87,5,13,36,0,109
91,7,14,33,2,109
96,7,15,37,2,109
97,9,16,21,4,109
98,9,17,14,4,109
109,10,18,22,5,109
44,0,5,44,0,110
58,0,6,52,0,110
66,0,7,52,0,110
74,0,8,50,0,110
78,0,9,44,0,110
88,1,10,44,1,110
92,2,11,34,2,110
104,2,12,38,2,110
108,2,13,34,2,110
110,2,14,32,2,110
26,3,5,25,1,126
32,3,6,25,1,126
40,3,7,29,1,126
45,3,8,30,0,126
51,3,9,32,0,126
58,3,10,32,0,126
69,3,11,37,0,126
72,4,12,32,1,126
84,4,13,39,1,126
97,4,14,46,1,126
102,6,15,44,3,126
115,7,16,46,4,126
117,8,17,45,4,126
126,9,18,42,5,126
126,10,19,29,6,126
52,1,5,46,1,127
55,1,6,42,0,127
63,1,7,41,0,127
67,2,8,35,1,127
81,2,9,37,1,127
81,3,10,29,2,127
93,3,11,38,2,127
99,3,12,36,2,127
103,3,13,36,1,127
109,4,14,28,2,127
110,4,15,29,1,127
117,4,16,24,1,127
120,4,17,21,1,127
127,4,18,24,1,127
34,3,5,30,2,144
43,4,6,33,3,144
50,4,7,36,3,144
60,4,8,39,2,144
66,4,9,35,2,144
70,4,10,36,1,144
77,4,11,34,0,144
81,4,12,31,0,144
84,5,13,24,1,144
86,6,14,20,2,144
95,6,15,25,2,144
107,6,16,30,2,144
121,6,17,40,2,144
124,7,18,40,2,144
144,7,19,58,1,144
50,1,5,47,1,148
58,1,6,54,1,148
71,1,7,56,1,148
77,1,8,53,1,148
78,2,9,48,1,148
88,2,10,38,1,148
94,2,11,36,1,148
101,2,12,30,1,148
112,2,13,35,1,148
115,2,14,37,0,148
125,2,15,37,0,148
127,3,16,33,1,148
148,3,17,47,1,148
48,2,5,43,2,103
56,2,6,44,2,103
68,2,7,47,1,103
74,3,8,48,1,103
79,3,9,48,1,103
82,4,10,34,2,103
85,5,11,29,3,103
94,5,12,26,3,103
95,6,13,21,3,103
102,7,14,23,4,103
103,9,15,21,5,103
103,10,16,18,5,103
34,0,5,32,0,104
41,0,6,35,0,104
46,1,7,38,1,104
51,1,8,30,1,104
64,1,9,35,1,104
72,2,10,38,2,104
73,3,11,32,3,104
84,3,12,38,2,104
91,3,13,40,2,104
102,3,14,38,2,104
104,3,15,32,1,104
50,2,5,43,2,187
59,2,6,40,2,187
67,2,7,37,2,187
74,2,8,35,2,187
83,2,9,38,1,187
97,2,10,47,0,187
100,2,11,41,0,187
106,2,12,39,0,187
119,2,13,45,0,187
133,2,14,50,0,187
139,2,15,42,0,187
154,2,16,54,0,187
167,3,17,61,1,187
176,4,18,57,2,187
187,5,19,54,3,187
62,0,5,53,0,188
71,1,6,47,1,188
84,1,7,56,1,188
95,1,8,61,1,188
98,2,9,56,2,188
100,3,10,38,3,188
107,3,11,36,2,188
115,3,12,31,2,188
138,3,13,43,2,188
142,4,14,44,2,188
148,4,15,48,1,188
155,4,16,48,1,188
166,4,17,51,1,188
173,6,18,35,3,188
188,6,19,46,2,188
41,2,5,39,2,129
45,2,6,36,2,129
49,3,7,30,2,129
64,4,8,39,2,129
76,4,9,40,2,129
79,4,10,38,2,129
89,6,11,44,4,129
95,6,12,46,3,129
101,6,13,37,2,129
115,6,14,39,2,129
129,7,15,50,3,129
35,2,5,31,2,124
38,2,6,29,2,124
41,2,7,24,2,124
51,2,8,32,1,124
53,3,9,21,1,124
68,3,10,33,1,124
76,3,11,38,1,124
91,3,12,50,1,124
96,3,13,45,1,124
111,4,14,58,1,124
124,4,15,56,1,124
50,0,5,42,0,140
54,0,6,41,0,140
61,1,7,36,1,140
66,1,8,37,1,140
74,1,9,33,1,140
84,1,10,34,1,140
87,1,11,33,1,140
96,2,12,35,1,140
100,3,13,34,2,140
103,4,14,29,3,140
105,5,15,21,4,140
111,6,16,24,5,140
121,6,17,25,4,140
129,7,18,29,4,140
140,8,19,37,4,140
50,0,5,40,0,141
57,0,6,46,0,141
65,0,7,45,0,141
69,0,8,41,0,141
81,0,9,48,0,141
86,0,10,36,0,141
101,0,11,44,0,141
111,1,12,46,1,141
114,1,13,45,1,141
129,1,14,48,1,141
141,2,15,55,2,141
36,2,5,30,2,122
39,2,6,28,2,122
40,3,7,22,3,122
45,3,8,18,3,122
56,3,9,22,3,122
74,3,10,38,1,122
75,4,11,36,2,122
82,5,12,42,2,122
84,7,13,39,4,122
92,7,14,36,4,122
104,7,15,30,4,122
115,7,16,40,3,122
122,9,17,40,4,122
39,0,5,30,0,126
44,0,6,34,0,126
60,0,7,43,0,126
71,0,8,49,0,126
79,0,9,43,0,126
95,0,10,56,0,126
96,1,11,52,1,126
102,1,12,42,1,126
110,1,13,39,1,126
117,1,14,38,1,126
126,1,15,31,1,126
53,2,5,41,1,181
64,3,6,44,2,181
68,3,7,46,1,181
78,3,8,51,1,181
85,3,9,47,1,181
100,3,10,47,1,181
109,3,11,45,0,181
124,3,12,56,0,181
132,3,13,54,0,181
144,3,14,59,0,181
149,3,15,49,0,181
154,3,16,45,0,181
159,4,17,35,1,181
176,4,18,44,1,181
181,4,19,37,1,181
35,2,5,23,2,163
45,2,6,29,1,163
53,2,7,32,1,163
68,2,8,39,1,163
76,2,9,45,0,163
87,2,10,52,0,163
95,2,11,50,0,163
97,4,12,44,2,163
107,5,13,39,3,163
115,6,14,39,4,163
119,6,15,32,4,163
127,6,16,32,4,163
146,6,17,49,2,163
155,6,18,48,1,163
163,9,19,48,3,163
43,1,5,37,0,204
48,1,6,40,0,204
58,1,7,39,0,204
63,1,8,35,0,204
73,1,9,40,0,204
76,2,10,33,1,204
83,2,11,35,1,204
89,2,12,31,1,204
108,2,13,45,1,204
118,2,14,45,1,204
136,2,15,60,0,204
155,2,16,72,0,204
175,2,17,86,0,204
185,3,18,77,1,204
204,4,19,86,2,204
55,3,5,50,3,181
58,3,6,47,3,181
63,3,7,46,2,181
70,4,8,43,3,181
74,4,9,33,2,181
86,4,10,31,1,181
91,4,11,33,1,181
99,5,12,36,2,181
121,5,13,51,1,181
125,6,14,51,2,181
137,6,15,51,2,181
154,6,16,63,2,181
161,7,17,62,2,181
172,7,18,51,2,181
181,7,19,56,1,181
47,1,5,35,1,156
52,2,6,37,2,156
59,2,7,36,2,156
64,2,8,35,2,156
68,3,9,29,3,156
75,3,10,28,2,156
81,3,11,29,1,156
89,3,12,30,1,156
94,5,13,30,3,156
96,5,14,28,2,156
101,6,15,26,3,156
109,6,16,28,3,156
122,6,17,33,3,156
149,6,18,55,1,156
156,7,19,60,2,156
21,2,5,20,2,159
33,2,6,26,2,159
43,2,7,32,2,159
65,2,8,51,1,159
80,2,9,65,0,159
88,3,10,67,1,159
98,3,11,65,1,159
102,4,12,59,2,159
105,4,13,40,2,159
120,4,14,40,2,159
138,5,15,50,2,159
144,5,16,46,2,159
150,5,17,48,1,159
155,7,18,50,3,159
159,7,19,39,3,159
50,3,5,47,3,143
53,3,6,49,3,143
59,3,7,45,2,143
64,3,8,40,2,143
74,3,9,38,1,143
77,4,10,27,1,143
81,4,11,28,1,143
91,4,12,32,1,143
97,4,13,33,1,143
102,5,14,28,2,143
118,5,15,41,1,143
123,5,16,42,1,143
128,6,17,37,2,143
131,7,18,34,3,143
143,8,19,41,3,143
42,0,5,30,0,144
45,1,6,32,1,144
58,1,7,41,1,144
66,1,8,41,1,144
70,1,9,37,1,144
91,1,10,49,1,144
101,1,11,56,0,144
110,1,12,52,0,144
123,1,13,57,0,144
141,1,14,71,0,144
144,1,15,53,0,144
35,1,5,32,1,133
48,2,6,37,2,133
54,2,7,37,2,133
64,2,8,42,2,133
69,2,9,41,2,133
72,2,10,37,1,133
79,2,11,31,0,133
86,2,12,32,0,133
91,3,13,27,1,133
95,3,14,26,1,133
104,4,15,32,2,133
109,4,16,30,2,133
119,5,17,33,3,133
129,5,18,38,2,133
133,6,19,38,3,133
37,4,5,32,3,110
41,4,6,25,3,110
52,5,7,34,3,110
59,5,8,31,3,110
64,5,9,32,1,110
67,5,10,30,1,110
73,6,11,32,2,110
80,6,12,28,1,110
91,6,13,32,1,110
97,6,14,33,1,110
101,7,15,34,2,110
104,7,16,31,1,110
110,10,17,30,4,110
28,2,5,27,2,156
36,2,6,23,2,156
42,2,7,24,1,156
46,4,8,26,3,156
57,4,9,34,3,156
57,4,10,29,2,156
66,4,11,30,2,156
73,4,12,31,2,156
83,4,13,37,0,156
89,4,14,32,0,156
102,4,15,45,0,156
113,4,16,47,0,156
127,4,17,54,0,156
141,5,18,58,1,156
156,6,19,67,2,156
78,0,5,71,0,158
81,0,6,62,0,158
84,1,7,61,1,158
90,1,8,53,1,158
107,1,9,50,1,158
115,1,10,37,1,158
120,1,11,39,1,158
132,1,12,48,0,158
158,1,13,68,0,158
51,0,5,46,0,221
68,0,6,55,0,221
75,0,7,50,0,221
79,0,8,44,0,221
88,0,9,47,0,221
104,0,10,53,0,221
115,0,11,47,0,221
122,0,12,47,0,221
135,1,13,56,1,221
144,1,14,56,1,221
151,1,15,47,1,221
176,1,16,61,1,221
195,1,17,73,1,221
208,1,18,73,0,221
221,3,19,77,2,221
38,2,5,33,2,180
46,2,6,38,1,180
49,2,7,39,1,180
54,2,8,26,1,180
67,2,9,38,0,180
78,3,10,40,1,180
98,3,11,52,1,180
109,4,12,60,2,180
132,4,13,78,2,180
140,5,14,73,3,180
146,5,15,68,2,180
161,5,16,63,2,180
171,5,17,62,1,180
178,7,18,46,3,180
180,7,19,40,2,180
48,1,5,41,0,194
56,1,6,44,0,194
59,1,7,45,0,194
66,1,8,32,0,194
76,1,9,36,0,194
86,1,10,38,0,194
99,1,11,43,0,194
112,1,12,53,0,194
130,1,13,64,0,194
138,1,14,62,0,194
146,2,15,60,1,194
158,2,16,59,1,194
171,3,17,59,2,194
180,3,18,50,2,194
194,4,19,56,3,194
71,1,5,61,1,182
73,2,6,52,2,182
74,2,7,47,1,182
78,3,8,34,2,182
84,3,9,23,2,182
93,3,10,22,2,182
112,3,11,39,1,182
114,4,12,40,2,182
120,4,13,42,1,182
128,4,14,44,1,182
137,4,15,44,1,182
152,4,16,40,1,182
170,5,17,56,1,182
180,6,18,60,2,182
182,9,19,54,5,182
27,3,5,22,3,67
29,4,6,17,4,67
29,5,7,13,3,67
35,5,8,14,3,67
44,6,9,22,3,67
46,6,10,19,3,67
53,6,11,24,2,67
56,7,12,27,2,67
65,8,13,30,3,67
67,9,14,23,3,67
67,10,15,21,4,67
68,2,5,62,1,68
68,0,5,58,0,118
75,1,6,61,1,118
88,1,7,64,1,118
104,2,8,71,2,118
115,2,9,69,2,118
118,4,10,50,4,118
73,3,5,70,3,94
85,3,6,70,2,94
94,3,7,64,1,94
51,0,5,41,0,197
63,0,6,45,0,197
80,0,7,50,0,197
86,0,8,52,0,197
94,0,9,51,0,197
100,0,10,49,0,197
109,0,11,46,0,197
114,1,12,34,1,197
126,1,13,40,1,197
143,1,14,49,1,197
151,1,15,51,1,197
167,1,16,58,1,197
177,1,17,63,0,197
186,1,18,60,0,197
197,1,19,54,0,197
23,3,5,22,2,132
27,3,6,23,1,132
31,4,7,25,1,132
33,4,8,18,1,132
38,4,9,20,1,132
42,5,10,19,2,132
50,5,11,23,2,132
69,5,12,38,1,132
73,7,13,40,3,132
83,7,14,45,3,132
89,8,15,47,3,132
107,8,16,57,3,132
114,8,17,45,3,132
118,9,18,45,2,132
132,9,19,49,2,132
57,1,5,46,1,178
64,1,6,34,1,178
71,1,7,32,0,178
74,3,8,30,2,178
78,3,9,30,2,178
83,3,10,26,2,178
91,3,11,27,2,178
97,4,12,26,3,178
104,4,13,30,1,178
114,4,14,36,1,178
128,4,15,45,1,178
142,4,16,51,1,178
156,6,17,59,2,178
171,6,18,67,2,178
178,7,19,64,3,178
32,3,5,27,3,153
42,3,6,30,2,153
48,3,7,30,2,153
56,3,8,36,2,153
59,4,9,36,1,153
62,4,10,30,1,153
